Tactic ID,Promo ID,L6 Planning Account,Tactic Type,L5 Promoted Product Group,Payment Type,Promo Name,Discount Type,Tactic Performance Start Date,Tactic Performance End Date,Discount Rate,Settled Spend $,Planned Spend $,Remaining Spend $
U100EROQ,U100EROJ,UNFI EAST,Pallet-Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Warehouse Withdraw,F26 ADMAX JIF PBC SHIPPERS,$ Off,2025-05-01,2025-09-12,42.24,0,0,0
U100EROS,U100EROR,UNFI EAST,Pallet-Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Fixed Fee,F26 ADMAX JIF PBC SHIPPERS LUMP SUM FEES,Fixed,2025-05-01,2025-09-12,1000.0,0,0,0
U100EROV,U100EROT,UNFI EAST,Pallet-Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Fixed Fee,F26 ADMAX JIF PBC SHIPPERS LUMP SUM FEES,Fixed,2025-09-13,2025-12-26,1000.0,0,0,1000
U100EROW,U100EROU,UNFI EAST,Pallet-Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Warehouse Withdraw,F26 ADMAX JIF PBC SHIPPERS,$ Off,2025-09-13,2025-12-26,42.24,0,0,3168
U100ERR1,U100ERR0,UNFI EAST,Pallet-Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Warehouse Withdraw,F26 UNFI EAST JIF PBC FLOORSTAND,$ Off,2025-07-18,2025-08-14,50.4,0,0,0
U100ERR3,U100ERR2,UNFI EAST,Pallet-Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Fixed Fee,F26 UNFI EAST JIF PBC FLOORSTAND LUMP SUM FEE,Fixed,2025-07-18,2025-08-14,500.0,0,0,0
U100EZ2I,U100EZ1R,UNFI EAST,Pallet-Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Warehouse Withdraw,F26 UNFI EAST WINTER FOOD SHOW WAVE 4 & 5,$ Off,2025-11-28,2026-02-12,50.4,0,0,15120
U100EZ2K,U100EZ2J,UNFI EAST,Pallet-Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Fixed Fee,F26 UNFI EAST WINTER FOOD SHOW WAVE 4 & 5 LUMP SUM FEES,Fixed,2025-11-28,2026-02-12,200.0,0,0,200
U100EZ75,U100EZ73,UNFI EAST,Pallet-Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Warehouse Withdraw,F26 ADMAX JIF PBC SHIPPERS,$ Off,2025-12-27,2026-04-30,42.24,0,0,3060
U100EZ76,U100EZ74,UNFI EAST,Pallet-Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Fixed Fee,F26 ADMAX JIF PBC SHIPPERS LUMP SUM FEES,Fixed,2025-12-27,2026-04-30,1000.0,0,0,1000
U100G1J3,U100G1J2,UNFI EAST,Pallet-PV Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Fixed Fee,F26 UNFI EAST PVA PALLETS Q1,Fixed,2025-05-01,2025-05-16,420.0,0,0,0
U100G1OC,U100G1OB,UNFI EAST,Pallet-LDI Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Off Invoice,UNFI EAST - LDIDISPLAYPRM,% Off,2025-05-01,2026-04-30,0.5,0,0,-56
U100G1OG,U100G1OF,UNFI EAST,Pallet-LDI Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Off Invoice,ADMAX - LDIDISPLAYPRM,% Off,2025-05-01,2026-04-30,0.5,0,0,0
U100G9GF,U100G9GD,UNFI EAST,Pallet-PV Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Shipment Bill-Back,F26 UNFI EAST PVA PALLETS Q1,% Off,2025-05-01,2025-07-31,3.6,0,0,0
U100G9GI,U100G9GH,UNFI EAST,Pallet-PV Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Shipment Bill-Back,F26 UNFI EAST PVA PALLETS Q2,% Off,2025-08-01,2025-10-31,3.6,0,0,0
U100G9GL,U100G9GK,UNFI EAST,Pallet-PV Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Shipment Bill-Back,F26 UNFI EAST PVA PALLETS Q3,% Off,2025-11-01,2026-01-31,3.6,0,0,0
U100G9GO,U100G9GN,UNFI EAST,Pallet-PV Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Shipment Bill-Back,F26 UNFI EAST PVA PALLETS Q4,% Off,2026-02-01,2026-04-30,3.6,0,0,0
U110GJ1J,U110GJ1I,UNFI EAST,Pallet-Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Warehouse Withdraw,F26 UNFI EAST ACME FRESH PBC SHIPPERS,$ Off,2025-10-03,2025-10-24,54.14,0,0,0
U110GLM3,U110GLM0,UNFI EAST,Pallet-Display,JF PLT12288 CHOC PEANUT BUTTER 15 OZ 48 CT DISP,Warehouse Withdraw,F26 SHOP N SAVE JIF 16OZ PALLET FEBRUARY,$ Off,2026-01-25,2026-02-24,54.24,0,0,4014
