Case UPC,Client,Item UPC,Pack / Size / UOM,Item Description,DBW Group,Primary PG,Secondary DBW Group,Units to Cases - (Case Count)
00966,JMSMUC,966,6 / 3.7 / OZ,DN CRML ME CRAZY 10 K-CUP,LP401400,DN KCUP 10 CT,COFFEE DN,6
00967,JMSMUC,967,6 / 3.7 / OZ,DN CINNAMANIA 10 CT K-CUP,LP401400,DN KCUP 10 CT,COFFEE DN,6
00970,JMSMUC,970,6 / 3.7 / OZ,DN COLOMBIAN 10 CT K-CUP,LP401400,DN KCUP 10 CT,COFFEE DN,6
01282,JMSMUC,1282,6 / 3.7 / OZ,DN ESPRSO STYLE 10 K-CUP,LP401400,DN KCUP 10 CT,COFFEE DN,6
01479,JMSMUC,1479,6 / 3.5 / OZ,DN TURTLE LOVE 10CT K-CUP,LP401400,DN KCUP 10 CT,COFFEE DN,6
00298,JMSMUC,298,6 / 3.7 / OZ,DN GR ORIGINAL 10CT K-CUP,LP401400,DN KCUP 10 CT,COFFEE DN,6
00299,JMSMUC,299,6 / 3.7 / OZ,DN GR DEC ORGNL 10 K-CUP,LP401400,DN KCUP 10 CT,COFFEE DN,6
00300,JMSMUC,300,6 / 3.7 / OZ,DN GR FRNCH VAN 10 K-CUP,LP401400,DN KCUP 10 CT,COFFEE DN,6
00301,JMSMUC,301,6 / 3.7 / OZ,DN GR HAZELNUT 10CT K-CUP,LP401400,DN KCUP 10 CT,COFFEE DN,6
00696B,JMSMUC,696,6 / 3.52 / OZ,DN MIDNIGHT 10 CT K-CUP,LP401400,DN KCUP 10 CT,COFFEE DN,6
